,title,text,label
5966,FBI closes in on hillary,FBI Closes in on hillary! posted on home,TRUE
8096,"Breaking: tech CEO under investigation, sources say","Breaking: tech CEO under investigation, sources say! reported by an anonymous source",FALSE
2926,senior official scandal shakes community,senior official scandal shakes community! shared on social media,TRUE
4856,"Breaking: local mayor under investigation, sources say","Breaking: local mayor under investigation, sources say! reported by an anonymous source",FALSE
4469,Crowd reacts as university dean makes surprise appearance,Crowd reacts as university dean makes surprise appearance! highlighted in a new audit,FALSE
1263,university dean linked to controversial documents,university dean linked to controversial documents! flagged by investigators,TRUE
4678,New evidence surfaces in local mayor case,New evidence surfaces in local mayor case! revealed in internal documents,TRUE
4921,senior official denies allegations in public statement,senior official denies allegations in public statement! shared on social media,FALSE
1456,state representative scandal shakes community,state representative scandal shakes community! revealed in internal documents,TRUE
8875,Whistleblower claims expose local mayor,Whistleblower claims expose local mayor! shared on social media,TRUE
4544,tech CEO faces fresh questions after report,tech CEO faces fresh questions after report! questioned during an interview,TRUE
1188,famous actor denies allegations in public statement,famous actor denies allegations in public statement! posted on home,FALSE
2397,nonprofit leader scandal shakes community,nonprofit leader scandal shakes community! shared on social media,TRUE
2023,Whistleblower claims expose nonprofit leader,Whistleblower claims expose nonprofit leader! published in a leaked memo,TRUE
1722,city council member denies allegations in public statement,city council member denies allegations in public statement! shared on social media,FALSE
8202,university dean denies allegations in public statement,university dean denies allegations in public statement! flagged by investigators,TRUE
2367,nonprofit leader faces fresh questions after report,nonprofit leader faces fresh questions after report! revealed in internal documents,FALSE
6620,"Breaking: campaign advisor under investigation, sources say","Breaking: campaign advisor under investigation, sources say! discussed in closed-door meeting",TRUE
7031,tech CEO denies allegations in public statement,tech CEO denies allegations in public statement! revealed in internal documents,FALSE
7592,finance executive linked to controversial documents,finance executive linked to controversial documents! published in a leaked memo,TRUE
5100,senior official denies allegations in public statement,senior official denies allegations in public statement! highlighted in a new audit,TRUE
6407,famous actor linked to controversial documents,famous actor linked to controversial documents! discussed in closed-door meeting,TRUE
6090,New evidence surfaces in campaign advisor case,New evidence surfaces in campaign advisor case! flagged by investigators,FALSE
6403,local mayor scandal shakes community,local mayor scandal shakes community! published in a leaked memo,TRUE
9125,famous actor scandal shakes community,famous actor scandal shakes community! discussed in closed-door meeting,TRUE
5098,Exclusive: insiders reveal details about university dean,Exclusive: insiders reveal details about university dean! posted on home,FALSE
3804,Exclusive: insiders reveal details about university dean,Exclusive: insiders reveal details about university dean! shared on social media,TRUE
9664,New evidence surfaces in state representative case,New evidence surfaces in state representative case! posted on home,TRUE
9714,New evidence surfaces in university dean case,New evidence surfaces in university dean case! shared on social media,TRUE
4905,Crowd reacts as university dean makes surprise appearance,Crowd reacts as university dean makes surprise appearance! published in a leaked memo,TRUE
6143,senior official faces fresh questions after report,senior official faces fresh questions after report! posted on home,TRUE
2962,"Breaking: finance executive under investigation, sources say","Breaking: finance executive under investigation, sources say! revealed in internal documents",TRUE
